,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Unnamed: 25,K,n,R2
131,,12,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1971.0,0.95,,,88.6,10.08,1.31,298.0,0.00765147453083112,0.350825737265416,2335,-4.872856900589168,-1.0474656538281093,3.825391246761059,E&E,,5.536645946559901,0.4981742988679609,0.9967040069347425
143,,24,C700-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2546.0,1.28,,,89.41,9.72,0.88,298.0,0.0122873345935727,0.489829919536563,2336,-4.399186254956715,-0.7136970511182559,3.6854892038384586,E&E,,7.463845513462936,0.534788058529744,0.9966019825123641
155,,36,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2546.0,1.28,,,89.41,9.72,0.88,298.0,0.0151228733459357,0.297813251184391,2337,-4.191546890178465,-1.211288662796764,2.980258227381701,E&E,,6.066695394026346,0.5856635379289065,0.9966039735735137
167,,48,C800-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2866.0,1.6,,,91.18,8.05,0.77,298.0,0.00957741248400509,0.410520891218731,2338,-4.648347819097093,-0.8903284592561591,3.7580193598409335,E&E,,7.32005823577531,0.572813269706136,0.9988145800885219
179,,60,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2866.0,1.6,,,91.18,8.05,0.77,298.0,0.0163359602371882,0.302912916589859,2339,-4.114386451623258,-1.1943099187750754,2.9200765328481824,E&E,,5.8043257603415235,0.611966588452115,0.9977915076004304
191,,72,C800-4,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3111.0,1.92,,,91.62,7.67,0.7,298.0,0.0131826741996233,0.373085888055324,2340,-4.32885187218663,-0.9859466229618441,3.3429052492247857,E&E,,6.785973785678893,0.6267687511699624,0.9989551013525408
203,,84,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3111.0,1.92,,,91.62,7.67,0.7,298.0,0.0160075329566855,0.258358803371307,2341,-4.134695857745668,-1.3534059494615567,2.781289908284111,E&E,,5.326997618179224,0.6678913873297212,0.9990350711431736
215,,96,C800-5,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3067.0,2.1,,,91.88,7.52,0.61,298.0,0.0115341081193106,0.291262135922328,2342,-4.462446709868,-1.2335316065674875,3.2289151033005123,E&E,,5.106268531733047,0.6587858998764033,0.9995469342282236
227,,108,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3067.0,2.1,,,91.88,7.52,0.61,298.0,0.015345598120958,0.145631067961163,2343,-4.176926613438853,-1.9266787871274398,2.250247826311414,E&E,,4.043530328827294,0.6993077291310726,0.9987012204782167
238,,119,C600-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1971.0,0.95,,,88.6,10.08,1.31,288.0,0.00871772645656618,0.766451612903226,2344,-4.742396802514569,-0.26598370999070176,4.476413092523867,E&E,,7.260947565855781,0.4193663284697403,0.9962492661536538
249,,130,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1971.0,0.95,,,88.6,10.08,1.31,288.0,0.0134815181722494,0.441290322580647,2345,-4.3064355557854785,-0.8180522922907377,3.488383263494741,E&E,,6.372005836561012,0.48361282526994265,0.9929512975636913
260,,141,C700-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2546.0,1.28,,,89.41,9.72,0.88,288.0,0.00759933603070861,0.613636363636363,2346,-4.879694399886787,-0.4883527679139332,4.391341631972854,E&E,,8.933756836635501,0.49134816838572587,0.9967429975053057
270,,151,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2546.0,1.28,,,89.41,9.72,0.88,288.0,0.0150336228767601,0.443181818181818,2347,-4.197466061232181,-0.8137751683485605,3.38369089288362,E&E,,7.340738337902065,0.550261109446848,0.9967287712150639
281,,162,C800-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2866.0,1.6,,,91.18,8.05,0.77,288.0,0.00968992248062014,0.528720626631853,2348,-4.636668853047464,-0.6372951026340535,3.9993737504134104,E&E,,8.750053876566373,0.5345448732918476,0.9977279298567394
293,,174,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2866.0,1.6,,,91.18,8.05,0.77,288.0,0.0155038759689922,0.340731070496085,2349,-4.16666522380173,-1.0766617624178938,3.0900034613838363,E&E,,6.9050049871274135,0.588757867094453,0.9975820623952453
305,,186,C800-4,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3111.0,1.92,,,91.62,7.67,0.7,288.0,0.00834173693007273,0.304987534664837,2350,-4.786483819298895,-1.1874843731612788,3.5989994461376162,E&E,,7.613813766570483,0.6216797500368834,0.9985386473513329
314,,195,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3111.0,1.92,,,91.62,7.67,0.7,288.0,0.0111429358432075,0.203388050085438,2351,-4.496949538520846,-1.5926395479026298,2.9043099906182155,E&E,,6.383013404099839,0.6611838311776691,0.9986096366857533
325,,206,C800-5,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3067.0,2.1,,,91.88,7.52,0.61,288.0,0.0120873082087084,0.272864628502372,2352,-4.41559928524001,-1.2987794730712015,3.116819812168808,E&E,,5.879094347747701,0.6310126286955743,0.9985813592273939
335,,216,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3067.0,2.1,,,91.88,7.52,0.61,288.0,0.0120978987240782,0.170592021576409,2353,-4.414723500627032,-1.7684804118621884,2.6462430887648436,E&E,,4.803448253308401,0.6777234166462555,0.999201526280198
345,,227,C600-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1971.0,0.95,,,88.6,10.08,1.31,308.0,0.0544867004144174,1.2745459331403,2354,-2.9097986361861414,0.24258998431037812,3.1523886204965197,E&E,,5.637240233343661,0.47495268483030184,0.9969291013070621
354,,236,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1971.0,0.95,,,88.6,10.08,1.31,308.0,0.0162407192583078,0.324864649649935,2355,-4.12023365592468,-1.1243466460126241,2.995887009912056,E&E,,4.864065634293079,0.5414909030034775,0.996247833785234
365,,247,C700-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2546.0,1.28,,,89.41,9.72,0.88,308.0,0.00827966881324747,0.339232406477631,2356,-4.79395230978499,-1.0810698416631357,3.7128824681218537,E&E,,6.320092457458786,0.5642462462128907,0.998759861563055
376,,258,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2546.0,1.28,,,89.41,9.72,0.88,308.0,0.0110395584176633,0.137370440579416,2357,-4.506270237333209,-1.9850740564039264,2.5211961809292824,E&E,,5.094437024431372,0.6308317515532247,0.9963818823423642
388,,270,C800-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2866.0,1.6,,,91.18,8.05,0.77,308.0,0.0147595371380537,0.345268542199487,2358,-4.215865819511975,-1.0634327815469407,3.152433037965034,E&E,,6.154225548981181,0.5959716062505861,0.9981597464422135
398,,280,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2866.0,1.6,,,91.18,8.05,0.77,308.0,0.0174243914653121,0.199488491048593,2359,-4.049884246026459,-1.6119987332957757,2.4378855127306833,E&E,,4.849393485265864,0.6475435213611048,0.9976519988518544
407,,289,C800-4,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3111.0,1.92,,,91.62,7.67,0.7,308.0,0.0121002592912705,0.258044046694309,2360,-4.414528397578421,-1.3546249850107859,3.0599034125676345,E&E,,5.319668390894029,0.6585079146990874,0.9993833537982745
417,,299,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3111.0,1.92,,,91.62,7.67,0.7,308.0,0.0112359550561797,0.151728061442184,2361,-4.488636369732147,-1.885665429891306,2.6029709398408407,E&E,,4.27473008478794,0.68189727026072,0.999044366684495
427,,309,C800-5,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3067.0,2.1,,,91.88,7.52,0.61,308.0,0.00697815192613646,0.184271817132364,2362,-4.964971164293995,-1.6913433444349308,3.2736278198590636,E&E,,4.335146711404496,0.6836099996633388,0.999290305166765
437,,319,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3067.0,2.1,,,91.88,7.52,0.61,308.0,0.0149048014455868,0.122690357728736,2363,-4.2060718732701305,-2.098091514471046,2.1079803587990846,E&E,,3.0098592675050737,0.7103745387408483,0.9993944493297204
446,4.0,50,RX 1.5,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1683.0,0.81,0.2,,,,,303.0,0.02,1.68,2364,-3.912023005428146,0.5187937934151675,4.430816798843313,E&E,,7.836660883795082,0.26847989211373957,0.9358615263428014
454,,58,RX 0.8,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1323.0,0.64,0.16,,,,,303.0,0.02,1.74,2365,-3.912023005428146,0.5538851132264376,4.465908118654584,E&E,,6.537967862485224,0.25324898309473587,0.9745153088522218
463,,67,CGRAN,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1378.0,0.99,0.54,,,,,303.0,0.04,1.36,2366,-3.2188758248682006,0.3074846997479607,3.526360524616161,E&E,,5.981612545977748,0.3576064394234681,0.9785279244320424
471,,75,CNR-115,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1714.0,0.95,0.31,,,,,303.0,0.04,1.24,2367,-3.2188758248682006,0.2151113796169455,3.4339872044851463,E&E,,6.978430857808124,0.3696136602395468,0.9580102932677355
479,,83,GAC 1240,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,982.0,0.56,0.2,,,,,303.0,0.04,2.81,2368,-3.2188758248682006,1.0331844833456545,4.252060308213855,E&E,,6.514051231478675,0.20450303119429109,0.9102846826638388
485,,89,RX 1.5,Propane,0.0,0.0,0.0,0.0,0.5313,1.05,1683.0,0.81,0.2,,,,,303.0,0.01,2.25,2369,-4.605170185988091,0.8109302162163288,5.416100402204419,E&E,,9.80484721598849,0.23601732510210285,0.9193706482872975
493,,97,RX 0.8,Propane,0.0,0.0,0.0,0.0,0.5313,1.05,1323.0,0.64,0.16,,,,,303.0,0.05,4.33,2370,-2.995732273553991,1.4655675420143985,4.461299815568389,E&E,,6.968812272557371,0.15169598234903892,0.9896262494819755
500,,104,CGRAN,Propane,0.0,0.0,0.0,0.0,0.5313,1.05,1378.0,0.99,0.54,,,,,303.0,0.03,2.84,2371,-3.506557897319982,1.0438040521731147,4.550361949493096,E&E,,8.43920795810138,0.3006152902574154,0.9982190865626741
508,,112,CNR-115,Propane,0.0,0.0,0.0,0.0,0.5313,1.05,1714.0,0.95,0.31,,,,,303.0,0.01,0.95,2372,-4.605170185988091,-0.05129329438755058,4.553876891600541,E&E,,10.920414146522624,0.41096989882393037,0.9744094509571511
517,,121,GAC 1240,Propane,0.0,0.0,0.0,0.0,0.5313,1.05,982.0,0.56,0.2,,,,,303.0,0.01,1.94,2373,-4.605170185988091,0.6626879730752367,5.267858159063327,E&E,,8.376114178838733,0.27624316589162584,0.9849854172304635
524,5.0,41,TC,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1500.0,1.3,0.52,0.78,,,,263.0,0.329,3.09,2374,-1.1116975282167652,1.128171090909654,2.239868619126419,E&E,,4.91826378508994,0.3595173177816951,0.9968238092347745
535,,52,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1500.0,1.3,0.52,0.78,,,,273.0,0.342,2.421,2375,-1.0729445419195318,0.8841806779559214,1.9571252198754532,E&E,,4.230845846406859,0.33253981227416646,0.9875971571255979
545,,0,C-PDA-2,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2715.0,1.16,,,,,,298.0,0.0382992982732791,0.981274146495309,2376,-3.2623237048098823,-0.018903402294979596,3.243420302514903,E&E,,8.113487399634367,0.5639273303633909,0.9952886287354027
554,,9,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2715.0,1.16,,,,,,298.0,0.00956989671213431,0.265749428368682,2377,-4.649132866455945,-1.325201412773938,3.323931453682007,E&E,,6.757120797801022,0.6053028880792315,0.9976487354721889
566,,21,C-PDA-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3160.0,1.51,,,,,,298.0,0.0153039334945159,0.314598801730273,2378,-4.1796453924811825,-1.15645709723275,3.0231882952484326,E&E,,6.740530977130792,0.6302293104208806,0.9974693333809437
579,,34,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3160.0,1.51,,,,,,298.0,0.0115082349497019,0.104704748156411,2379,-4.464692417294961,-2.2566108120249435,2.208081605270017,E&E,,5.208157385017345,0.6593564681897405,0.9979299911996934
591,,46,C-PDA-4,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3291.0,1.78,,,,,,298.0,0.00710051159228339,0.18974191883074,2380,-4.947588442279541,-1.662090452120613,3.2854979901589276,E&E,,5.888435180125918,0.6571601136739907,0.9992158154155771
603,,58,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3291.0,1.78,,,,,,298.0,0.00712590078748823,0.0759983243131152,2381,-4.944019134504418,-2.57704398745052,2.366975147053898,E&E,,4.580892414484155,0.6960750125233267,0.9981384815059845
615,,70,C-PDA-5,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,2847.0,1.97,,,,,,298.0,0.0102991057662657,0.208037825059101,2382,-4.575698206324673,-1.5700353645680747,3.0056628417565983,E&E,,4.991577493558821,0.6659574870354998,0.9992424386575768
627,,82,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,2847.0,1.97,,,,,,298.0,0.00865864939870486,0.0567375886524832,2383,-4.749196527149713,-2.869318348698316,1.879878178451397,E&E,,3.9643051444888533,0.7009971711376539,0.9977017888986907
638,,93,C-PAD-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3160.0,1.51,,,,,,273.0,0.0301418439716312,1.12989593356855,2384,-3.501840907441843,0.12212553429619519,3.6239664417380384,E&E,,9.622297944737749,0.5544740951776128,0.9961124777524564
649,,104,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3160.0,1.51,,,,,,273.0,0.0354609929078014,0.903631633344023,2385,-3.3393219779440684,-0.10133348687354359,3.2379884910705248,E&E,,7.751081795246921,0.592087586945221,0.9985239854932152
660,,115,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3160.0,1.51,,,,,,288.0,0.0354609929078014,0.803129120781209,2386,-3.3393219779440684,-0.21923977997791452,3.1200821979661537,E&E,,7.566564018770373,0.6125205512760248,0.9976828106494473
670,,125,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3160.0,1.51,,,,,,288.0,0.076241134751773,1.05336077550875,2387,-2.5738541358044973,0.05198579128952575,2.625839927094023,E&E,,6.100109931074323,0.6354493239008654,0.9974977326850732
679,,134,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,3160.0,1.51,,,,,,313.0,0.0283687943262411,0.401297266474214,2388,-3.562465529258279,-0.9130528134089819,2.649412715849297,E&E,,5.096007927034638,0.6851515835158162,0.9982174103804139
688,,143,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,3160.0,1.51,,,,,,313.0,0.0319148936170212,0.250454399657861,2389,-3.4446824936018965,-1.3844784123219849,2.0602040812799114,E&E,,4.013799696289503,0.7389897534185157,0.998935613020603
697,6.0,0,CMK-3,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1182.0,1.19,,,,,,303.0,0.00736593989393047,0.447468968008059,2390,-4.91088862092597,-0.8041480889051065,4.106740532020863,E&E,,3.125933545188456,0.3851679939638995,0.998193144306835
708,,11,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1182.0,1.19,,,,,,323.0,0.0191799570399376,0.349915410496701,2391,-3.953889449365766,-1.0500638380041736,2.903825611361593,E&E,,2.665396445386883,0.45393647073270593,0.9966453541236618
718,,21,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1182.0,1.19,,,,,,343.0,0.0192750014256657,0.252589959511091,2392,-3.9489462855682484,-1.3759878184262446,2.572958467142004,E&E,,2.2225361746546763,0.5094497464646599,0.9972037298773614
728,,31,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1182.0,1.19,,,,,,303.0,0.0248303457714753,0.56391734940217,2393,-3.6956887540062504,-0.5728475818358164,3.122841172170434,E&E,,2.9091819150299276,0.41764695894013426,0.998901652028366
738,,41,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1182.0,1.19,,,,,,323.0,0.0308228942916342,0.427547664759442,2394,-3.4794975439719997,-0.8496895003072817,2.6298080436647178,E&E,,2.3711983566405217,0.4751564722452652,0.9988260022330092
748,,51,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,1182.0,1.19,,,,,,343.0,0.0193510369342483,0.174729598722603,2395,-3.945009272608904,-1.7445156501907837,2.2004936224181204,E&E,,1.9499431160958278,0.5482082977323275,0.9975597825396008
757,7.0,0,pit-GAC,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,645.0,0.287,0.073,0.214,,,,303.0,0.165,0.465,2396,-1.8018098050815563,-0.7657178733947807,1.0360919316867756,E&E,,2.2764686334588164,0.28318775218694286,0.7626995379215384
769,,12,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,645.0,0.287,0.073,0.214,,,,318.0,0.315,0.292,2397,-1.155182640156504,-1.2310014767138553,-0.07581883655735133,E&E,,1.5314916636217877,0.3897627073735738,0.8019681660300692
781,,24,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,645.0,0.287,0.073,0.214,,,,333.0,0.165,0.122,2398,-1.8018098050815563,-2.1037342342488805,-0.3019244291673242,E&E,,1.3898981570770506,0.40242192553772804,0.8474536038131992
795,,83,pit-GAC,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,645.0,0.287,0.073,0.214,,,,303.0,0.232,0.759,2399,-1.4610179073158271,-0.27575350158650713,1.18526440572932,E&E,,2.016584976151478,0.30233203433060674,0.8963731467230016
808,,96,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,645.0,0.287,0.073,0.214,,,,318.0,0.265,0.71,2400,-1.3280254529959148,-0.342490308946776,0.9855351440491388,E&E,,1.7622452729391072,0.3163683754252175,0.9084573729248181
821,,109,,Ethylene,0.11,0.1,0.0,0.07,0.3474,0.289,645.0,0.287,0.073,0.214,,,,333.0,0.181,0.117,2401,-1.7092582477163114,-2.145581344184381,-0.43632309646806955,E&E,,1.3620758449951522,0.4145400870768384,0.8895220353982184
838,8.0,38,BDH-AC,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1220.0,0.534,0.05500000000000005,0.479,,,,313.0,0.0488798370672101,0.498880078950805,2402,-3.0183902974465684,-0.6953895348566342,2.3230007625899343,E&E,,1.9345781281331071,0.3332468912476003,0.9650474426636887
848,,48,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1220.0,0.534,0.05500000000000005,0.479,,,,323.0,0.122199592668024,0.482354591676302,2403,-2.1020995655724235,-0.7290757680239197,1.3730237975485038,E&E,,1.654740954388247,0.35551289613208864,0.9527774573982559
860,,60,,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1220.0,0.534,0.05500000000000005,0.479,,,,333.0,0.158859470468431,0.424210612884655,2404,-1.8397353011049338,-0.8575252185773977,0.982210082527536,E&E,,1.4057701937355314,0.4137991537275206,0.9519548216500097
871,9.0,26,Co-NDPC-500,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,720.0,0.64,0.31,0.33,67.3,21.18,11.52,298.0,0.0228762206463613,0.792838874680307,2405,-3.777657307654666,-0.23213526250617372,3.545522045148492,E&E,,4.099025883078201,0.39177822132904827,0.9955897737955988
883,,38,Co-NDPC-500,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,720.0,0.64,0.31,0.33,67.3,21.18,11.52,298.0,0.0247168778578625,0.511508951406649,2406,-3.7002689546174756,-0.6703901934373303,3.029878761180145,E&E,,3.113560862030417,0.38977131248505453,0.9862729769262808
899,,54,Co-NDPC-500,Propane,0.0,0.0,0.0,0.0,0.5312,1.05,720.0,0.64,0.31,0.33,67.3,21.18,11.52,298.0,0.00874312175463068,1.17007672634271,2407,-4.739487972924649,0.15706932473020946,4.896557297654859,E&E,,3.8061673592897898,0.19429473417109877,0.9628700116950104
913,,91,Co-NDPC-600,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,911.0,0.54,0.1,0.44,70.06,18.2,11.74,298.0,0.021379980563654,1.0011038084627,2408,-3.845300282475735,0.001103199714058896,3.846403482189794,E&E,,6.848582279957243,0.43675350665321977,0.9941130616324863
926,,104,Co-NDPC-600,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,911.0,0.54,0.1,0.44,70.06,18.2,11.74,298.0,0.0097181729834791,0.692306597358364,2409,-4.6337576428400045,-0.36772636172004236,4.266031281119962,E&E,,6.085547732068284,0.38113585252822335,0.987563024570705
940,,118,Co-NDPC-600,Propane,0.0,0.0,0.0,0.0,0.5312,1.05,911.0,0.54,0.1,0.44,70.06,18.2,11.74,298.0,0.0116618075801749,2.41798496077144,2410,-4.451436086046051,0.8829345324757564,5.334370618521808,E&E,,5.707459466322589,0.1706853003401177,0.9708347969365029
957,,156,Co-NDPC-700,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1149.0,1.58,1.12,0.46,74.99,14.15,10.86,298.0,0.0341644772320942,0.972050506204357,2411,-3.376568852136937,-0.028347514756036404,3.3482213373809,E&E,,6.026033690649559,0.4680582623538811,0.9935795148777317
969,,168,Co-NDPC-700,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1149.0,1.58,1.12,0.46,74.99,14.15,10.86,298.0,0.0165170589938607,0.691158226385322,2412,-4.103361553744004,-0.36938649968246995,3.733975054061534,E&E,,5.4279385242215925,0.4008325649850331,0.9866278079236811
983,,182,Co-NDPC-700,Propane,0.0,0.0,0.0,0.0,0.5312,1.05,1149.0,1.58,1.12,0.46,74.99,14.15,10.86,298.0,0.00610340861091998,3.01223338265649,2413,-5.098907875191721,1.1026817912175986,6.20158966640932,E&E,,7.610134972441058,0.1492094760521118,0.9685240567091715
997,,218,Co-NDPC-800,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1187.0,1.06,0.54,0.52,82.44,11.25,6.31,298.0,0.0248908931626381,0.630142155575082,2414,-3.6932532788495958,-0.46180984128031377,3.2314434375692818,E&E,,5.683011471994716,0.5107956932951206,0.9961678751568654
1011,,232,Co-NDPC-800,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1187.0,1.06,0.54,0.52,82.44,11.25,6.31,298.0,0.0159730009747277,0.705494877679,2415,-4.1368554211508615,-0.3488557682698432,3.7879996528810183,E&E,,5.486618914440502,0.42561105043523684,0.9898192396153249
1024,,245,Co-NDPC-800,Propane,0.0,0.0,0.0,0.0,0.5312,1.05,1187.0,1.06,0.54,0.52,82.44,11.25,6.31,298.0,0.00421493080233026,1.74055174124245,2416,-5.4691221046665754,0.5542021556312574,6.023324260297833,E&E,,6.423798515445239,0.20560283548986533,0.9655003958108813
1040,,279,Co-NDPC-900,Acetylene,0.19,0.47,0.12,0.05,0.3044,0.07,1168.0,1.13,0.62,0.51,77.53,19.12,3.35,298.0,0.0269266480965645,0.658907099644478,2417,-3.614638847169916,-0.41717272612499906,3.1974661210449167,E&E,,6.075248545919387,0.5366804774001963,0.9968895836112801
1051,,290,Co-NDPC-900,Ethane,0.0,0.0,0.0,0.0,0.3904,0.492,1168.0,1.13,0.62,0.51,77.53,19.12,3.35,298.0,0.0194986072423398,0.758856443373359,2418,-3.9374122394329674,-0.27594265864110973,3.6614695807918576,E&E,,5.975367477232688,0.43173546490584197,0.9883938986564929
1063,,302,Co-NDPC-900,Propane,0.0,0.0,0.0,0.0,0.5312,1.05,1168.0,1.13,0.62,0.51,77.53,19.12,3.35,298.0,0.00928505106778088,1.69778491834139,2419,-4.679349584162342,0.5293244122226634,5.208673996385005,E&E,,7.266017946225092,0.22261329191644383,0.9575819565775546
